,station_name,street_address,city,access_days_time
210,Parthenon Diner of Old Saybrook - Tesla Destination,809 Boston Post Rd,Old Saybrook,24 hours daily; for customer use only
211,Western Connecticut State University,43 Lake Ave Extension,Danbury,24 hours daily
212,BIG Y FOODS,224 Salem Turnpike,Norwich,24 hours daily
213,Ridgeway Shopping Center,2202 Bedford St,Stamford,24 hours daily
214,Clark Memorial Library,538 Amity Rd,Bethany,24 hours daily
215,City of New Haven - Orchard Sherman Parking Lot,102 N Frontage Rd,New Haven,24 hours daily; pay lot
216,Town of Westport - Westport Metro North,1 Railroad Pl,Westport,24 hours daily; pay lot
217,Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only
218,Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,24 hours daily
219,Isham Garage,17 Isham Rd,West Hartford,Garage business hours; pay lot
220,GENE LANGAN VW,816 New London Turnpike,Glastonbury,24 hours daily
221,I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily; priority for Connecticut Green Bank employees
222,Homestead Inn - Tesla Destination,5 Elm St,New Milford,24 hours daily; for customer use only; see front desk for access
223,Western Connecticut State University,179 White St,Danbury,24 hours daily
224,Grace Mayflower Inn and Spa - Tesla Destination,118 Woodbury Rd,"Rte 47, Washington",24 hours daily; for customer use only; see front desk for access
225,I-95 Madison SB Service Plaza - Tesla Supercharger,I-95 South Bound,Madison,24 hours daily; Tesla users only
226,Bishop's Orchards Farm Market,1355 Boston Post Rd,Guilford,24 hours daily
227,Campus at Greenhill,108 Leigus Road,Wallingford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am
228,Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,9am-5pm M-F
229,Town of Glastonbury - Town Hall,2155 Main St,Glastonbury,24 hours daily
230,Green’s Farms Railroad Station,2 Post Office Ln,Westport,24 hours daily
231,Connecticut Insurance Exchange of Southington,1133 Meriden-Waterbury Turnpike,Plantsville,24 hours daily
232,HOFFMAN HONDA 1,40 Albany Turnpike,Simsbury,24 hours daily
233,CT RAIL,51 Depot Rd,Berlin,24 hours daily
234,Three Rivers Community College,574 New London Turnpike,Norwich,24 hours daily
235,Town of Stafford - Public Works Garage,210 E St,Stafford Springs,24 hours daily
236,Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,24 hours daily
237,Steelpointe Harbor,255 East Main Street,Bridgeport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
238,COMM LOT STA 1,5 Depot Pl,Bethel,24 hours daily
239,The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,24 hours daily
240,TOWN OF PUTNAM,1-73 Canal St,Putnam,24 hours daily
241,Maritime Garage,11 North Water Street,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours
242,GE WS - Price Chopper #243 Storrs CT 2,1220  Storrs Rd,Mansfield,24 hours daily
243,Stratford Square,411 Barnum Ave Cutoff,Stratford,24 hours daily
244,Cumberland Farms,471 New Park Ave,West Hartford,24 hours daily
245,City of New Haven - Air Rights Garage,60 York St,New Haven,24 hours daily; pay lot
246,Lime Rock Park - Tesla Destination,60 White Hollow Rd,Lakeville,24 hours daily; for customer use only
247,Danbury Fair Mall - Tesla Supercharger,7 Backus Ave,Danbury,24 hours daily; for Tesla use only
248,Western Connecticut State University,198 White St,Danbury,24 hours daily
249,Coventry High School,78 Ripley Hill Rd,Coventry,24 hours daily
250,Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot
251,Groton New London Airport,155 Tower Ave,Groton,24 hours daily
252,TEN TEN WASH,1010 Washington Blvd,Stamford,24 hours daily
253,RSI EAST,1115 West St,Southington,24 hours daily
254,University of Connecticut - School of Law,55 Elizabeth St,Hartford,Lot business hours
255,CROWLEY VW,245 New Britain Ave,Plainville,24 hours daily
256,Homewood Suites,99 Marsh Hill Rd,Orange,For guest use only
257,Asnuntuck Community College,170 Elm St,Enfield,24 hours daily
258,Fairfield NB - Tesla Supercharger,165 Round Hill Road,Fairfield,24 hours daily; for Tesla use only
259,Connecticut Department of Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old Lyme,24 hours daily
260,Precision Motors of Mystic,2400 Gold Star Hwy,Mystic,24 hours daily
261,Wesleyan University,161 Cross St,Middletown,24 hours daily
262,BMW BRIDGEPORT,43 North Ave,Bridgeport,24 hours daily
263,Connecticut State Capitol,210 Capitol Ave,Hartford,24 hours daily
